,Port Name,State,Port Code,Border,Date,Measure,Value,Location,WeatherURL,Max_Avg_Temp,Avg_Avg_Temp,Min_Avg_Temp
0,maida,North Dakota,3416,US-Canada Border,12/1/2018 0:00,Trucks,170,POINT (-98.36953 48.98568),https://www.wunderground.com/history/monthly/us/nd/maida/KDVL,32.24,32.01,31.72
1,maida,North Dakota,3416,US-Canada Border,12/1/2018 0:00,Truck Containers Empty,162,POINT (-98.36953 48.98568),https://www.wunderground.com/history/monthly/us/nd/maida/KDVL,32.24,32.01,31.72
2,maida,North Dakota,3416,US-Canada Border,12/1/2018 0:00,Personal Vehicles,402,POINT (-98.36953 48.98568),https://www.wunderground.com/history/monthly/us/nd/maida/KDVL,32.24,32.01,31.72
3,maida,North Dakota,3416,US-Canada Border,12/1/2018 0:00,Personal Vehicle Passengers,909,POINT (-98.36953 48.98568),https://www.wunderground.com/history/monthly/us/nd/maida/KDVL,32.24,32.01,31.72
4,maida,North Dakota,3416,US-Canada Border,12/1/2018 0:00,Truck Containers Full,8,POINT (-98.36953 48.98568),https://www.wunderground.com/history/monthly/us/nd/maida/KDVL,32.24,32.01,31.72
5,douglas,Arizona,2601,US-Mexico Border,12/1/2018 0:00,Buses,210,POINT (-109.54472 31.344439999999995),https://www.wunderground.com/history/monthly/us/az/douglas/KDUG,52.92,51.04,49.38
6,douglas,Arizona,2601,US-Mexico Border,12/1/2018 0:00,Bus Passengers,2360,POINT (-109.54472 31.344439999999995),https://www.wunderground.com/history/monthly/us/az/douglas/KDUG,52.92,51.04,49.38
7,douglas,Arizona,2601,US-Mexico Border,12/1/2018 0:00,Personal Vehicles,137719,POINT (-109.54472 31.344439999999995),https://www.wunderground.com/history/monthly/us/az/douglas/KDUG,52.92,51.04,49.38
8,douglas,Arizona,2601,US-Mexico Border,12/1/2018 0:00,Pedestrians,85434,POINT (-109.54472 31.344439999999995),https://www.wunderground.com/history/monthly/us/az/douglas/KDUG,52.92,51.04,49.38
9,douglas,Arizona,2601,US-Mexico Border,12/1/2018 0:00,Trucks,2111,POINT (-109.54472 31.344439999999995),https://www.wunderground.com/history/monthly/us/az/douglas/KDUG,52.92,51.04,49.38
10,douglas,Arizona,2601,US-Mexico Border,12/1/2018 0:00,Truck Containers Full,1560,POINT (-109.54472 31.344439999999995),https://www.wunderground.com/history/monthly/us/az/douglas/KDUG,52.92,51.04,49.38
11,douglas,Arizona,2601,US-Mexico Border,12/1/2018 0:00,Truck Containers Empty,551,POINT (-109.54472 31.344439999999995),https://www.wunderground.com/history/monthly/us/az/douglas/KDUG,52.92,51.04,49.38
12,douglas,Arizona,2601,US-Mexico Border,12/1/2018 0:00,Personal Vehicle Passengers,253398,POINT (-109.54472 31.344439999999995),https://www.wunderground.com/history/monthly/us/az/douglas/KDUG,52.92,51.04,49.38
13,presidio,Texas,2403,US-Mexico Border,12/1/2018 0:00,Bus Passengers,238,POINT (-104.37167 29.56056),https://www.wunderground.com/history/monthly/us/tx/presidio/MMCU,,,
