Created_Time,Tweet_text
Thu Oct 10 04:16:36 +0000 2019,"In case the Kurds or Turkey lose control, the United States has already taken the 2 ISIS militants tied to beheadin… https://t.co/05C14uxy2B"
Thu Oct 10 03:53:17 +0000 2019,"Impeached for what, having created the greatest Economy in the history of our Country, building our strongest ever… https://t.co/2DgE4OeFiy"
Thu Oct 10 01:55:32 +0000 2019,A different take! https://t.co/XKnQ6XTF0k
Thu Oct 10 01:34:14 +0000 2019,“I don’t think it’s a Whistleblower at all. I think this is an anonymous source for the Democratic Staff in the Hou… https://t.co/G8QodnGwOf
Thu Oct 10 00:10:19 +0000 2019,https://t.co/I6VsoDIQQp
Wed Oct 09 23:30:16 +0000 2019,The hardest thing I have to do as President... https://t.co/6bzwh78I00
Wed Oct 09 18:12:21 +0000 2019,Sleepy Joe Biden! https://t.co/oZtytImXqq
Wed Oct 09 17:55:33 +0000 2019,"So pathetic to see Sleepy Joe Biden, who with his son, Hunter, and to the detriment of the American Taxpayer, has r… https://t.co/bPBdBHnSzQ"
Wed Oct 09 16:27:46 +0000 2019,"Only 25 percent want the President Impeached, which is pretty low considering the volume of Fake News coverage, but… https://t.co/QKE74kOcAA"
Wed Oct 09 16:22:50 +0000 2019,So why is someone a good or great President if they needed to Spy on someone else’s Campaign in order to win (that… https://t.co/wCGbhZFBWl
Wed Oct 09 14:32:03 +0000 2019,"President Obama said that he did not have the right to sign DACA, that it will never hold up in court. He signed it… https://t.co/sG8Rg0bpqI"
Wed Oct 09 14:10:41 +0000 2019,Crooked Hillary should try it again! https://t.co/UjfIpZp1FA
Wed Oct 09 14:07:38 +0000 2019,True. Should have never been there in the first place! https://t.co/kVXtpB23Wy
Wed Oct 09 14:06:04 +0000 2019,"Why doesn’t the ICIG do something about this Scam? He should have never let it start, a Dem Hoax! https://t.co/UCbObppWbA"
Wed Oct 09 14:02:13 +0000 2019,Adam Schiff is a disgrace to our Country! https://t.co/4pM3j1GLev
Wed Oct 09 13:59:32 +0000 2019,"So true Don, and this was a big lie. Look what happened to Friends of Trump, for less. Can’t let this pass! https://t.co/u2To514DNq"
Wed Oct 09 13:51:14 +0000 2019,"But we are now, for the first time, giving companies a better alternative! https://t.co/jJFKywyIGw"
Wed Oct 09 13:49:45 +0000 2019,"Great support from GOP in fighting the Radical Left, Do Nothing Democrats! https://t.co/qjskHYkQpD"
Wed Oct 09 13:47:18 +0000 2019,"They don’t have a clue, but I do. The USA is doing great despite the Fed! https://t.co/85aW2YGehY"
Wed Oct 09 12:43:45 +0000 2019,"The so-called Whistleblower, before knowing I was going to release the exact Transcript, stated that my call with t… https://t.co/6Ilmmb4Yom"
Wed Oct 09 12:22:04 +0000 2019,"The Do Nothing Democrats are Con Artists, only looking to hurt the Republican Party and President. Their total focu… https://t.co/YuVNz2ygkZ"
Wed Oct 09 12:14:02 +0000 2019,The United States has spent EIGHT TRILLION DOLLARS fighting and policing in the Middle East. Thousands of our Great… https://t.co/J0459vSCtA
Wed Oct 09 11:36:10 +0000 2019,Fighting between various groups that has been going on for hundreds of years. USA should never have been in Middle… https://t.co/5xzUJViUG7
Wed Oct 09 11:17:12 +0000 2019,"So make all Member Countries pay, not just the United States! https://t.co/IVbE4MqBVl"
Wed Oct 09 11:14:30 +0000 2019,He should be Impeached for Fraud! https://t.co/lu3xKFQaON
Wed Oct 09 11:10:14 +0000 2019,"The Whistleblower’s facts have been so incorrect about my “no pressure” conversation with the Ukrainian President,… https://t.co/q1Yo0jnGlx"
Wed Oct 09 10:47:43 +0000 2019,"A Total Scam by the Do Nothing Democrats. For the good of the Country, this Wirch Hunt should end now! https://t.co/G2nPapozye"
Wed Oct 09 04:28:47 +0000 2019,So amazing! https://t.co/UG3DaSkmUc
Wed Oct 09 03:19:34 +0000 2019,https://t.co/ap9wN7wkj6
Wed Oct 09 03:16:04 +0000 2019,https://t.co/jZLa4vWXAZ
Wed Oct 09 02:39:23 +0000 2019,"Wow, Just Breaking: “The (big deal) Whistleblower had a ‘PROFESSIONAL TIE’ to 2020 Democratic Candidate.” Washingto… https://t.co/8u91jhLvdL"
Wed Oct 09 02:15:19 +0000 2019,"“Bob Mueller was pursuing the FBI Director job when he met with President Trump in 2017, Administration officials s… https://t.co/JZsku62RmY"
Wed Oct 09 02:00:39 +0000 2019,The Greatest Witch Hunt in the history of the USA! https://t.co/6FW11oLBv3
Wed Oct 09 01:57:35 +0000 2019,Gasoline Prices in the State of California are MUCH HIGHER than anywhere else in the Nation ($2.50 vs. $4.50). I gu… https://t.co/HK3QJCIwqz
Wed Oct 09 01:43:15 +0000 2019,"Big Rally in Louisiana on Friday night. Must force a runoff with a Liberal Democrat Governor, John Bel Edwards, who… https://t.co/caYQNV2rEQ"
Tue Oct 08 22:28:56 +0000 2019,"This is just the beginning, thank you to @ByronYork! https://t.co/1ceplqe5MZ"
Tue Oct 08 18:54:45 +0000 2019,The U.S. Border is SECURE! https://t.co/h9EPUPL1uS
Tue Oct 08 18:40:38 +0000 2019,"Radical Left Dem Mayor of Minneapolis, Jacob Frey, is doing everything possible to stifle Free Speech despite a rec… https://t.co/iYbQlIajvw"
Tue Oct 08 17:30:50 +0000 2019,Friday night in Louisiana will be Great. Big crowd expected. Republicans must get out and vote for either of our tw… https://t.co/32ODeKyBYa
Tue Oct 08 16:06:26 +0000 2019,Hasn’t Adam Schiff been fully discredited by now? Do we have to continue listening to his lies?
Tue Oct 08 15:06:17 +0000 2019,https://t.co/bh1FyxfUiA
Tue Oct 08 14:35:57 +0000 2019,"Get your great T-Shirts, “Cops for Trump,” at https://t.co/pmhDDXsIlx  REALLY NICE! Thank you to Minneapolis Police… https://t.co/34pPVxdxb5"
Tue Oct 08 14:31:08 +0000 2019,Someone please tell the Radical Left Mayor of Minneapolis that he can’t price out Free Speech. Probably illegal! I… https://t.co/KAncmV8QwQ
Tue Oct 08 14:25:06 +0000 2019,Thank you to Lt. Bob Kroll of the great Minneapolis Police Department for your kind words on @foxandfriends. The Po… https://t.co/5XSdJ5uofn
Tue Oct 08 14:06:29 +0000 2019,I think that Crooked Hillary Clinton should enter the race to try and steal it away from Uber Left Elizabeth Warren… https://t.co/KwhW2ge0Kp
