web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1570308274-376,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Soulfulwriter,Less impressive than the hype,22-Jun-19,No port for head phones!,4.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews
1570308227-157,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jhon Temblor,no good,6-Sep-19,I just received my i phone i charge it the whole and still 49 percent of battery,1.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
1570308240-220,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Maria R Velasquez,Great phone,22-Sep-19,The phone works really good and the battery lasts long. The great part is you’re  able to connect it to any company.,5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
1570308244-231,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Carlos B.,Excelente,28-Sep-19,The iphone is new. Battery life 100%. Charger not original.,5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews
1570308218-118,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Douglas M. Mokaren,Great iPhone XR,12-Jul-19,"Looks like new, no scratches anywhere, shiny, and powered right up.  Quick switch with my cell provider SIM... Will buy again from this seller.",5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
1570308252-277,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,You get what you pay fore and more!!,10-Jul-19,TOTALLY WORTH IT,5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews
1570308265-333,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Heriberto Felix,Joseph,21-Jun-19,Jcghfg,5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&pageNumber=34&reviewerType=all_reviews
1570308223-135,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kortnie Reed-Walker,Great purchase,14-Sep-19,Phone works perfectly.,5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
1570308214-95,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gustavo Vargas,Good price,28-Aug-19,Good price,4.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
1570308278-394,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rockytop,Seems to be the best choice of the three,5-Jul-19,"Upgraded from a 5C as more memory and a larger screen were desired.  I also have a similarly sized S6 and the Apple screen is much easier to read.

In the store, the other 2 models felt better in the hand, including balance. But the price.

I purchased the 128GB model in blue and snapped on the clear case with no screen protector. It is a good combination and the screen still looks great after getting dropped and banged around for a month.  My cellular reception is better, can use the phone in places where the 5C had no signal. The battery life is awesome but I get nothing like 11 hours.  The 2 speakers are welcomed but it doesn't really sound like stereo, more like 2 mono sources.  Thru the included wired ear buds, it sounds tinny, honestly, the 5C thru a traditional headphone jack sounds better to me.  I like the GPS feature, saves some cellular minutes.  Screen capture doesn't always work, maybe they will fix that.

I'm not ready for inductive charging, a battery case, nor wireless ear buds so won't speak to those features. Also not using Apple Pay but the face recognition is awesome, Awesome I say!

With the sunroof open, it goes to sleep due to the heat, a minor annoyance. There is no edge-to-edge display on any Apple phone; if they claim so, they're lying. They do, and they are.",4.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&pageNumber=40&reviewerType=all_reviews
